序號,地名,緯度,經度,座標文字,百分比X,百分比Y,Size
1,什亭,31.841,35.675,"31.841, 35.675",73.8,21.5,0
2,巴蘭曠野,30.3,34.3,"30.3, 34.3",49.5,58.5,0
3,比哈希錄,30.0,32.4,"30.0, 32.4",26.8,59.5,0
4,他備拉,28.75,34.2,"28.75, 34.2",54.5,76.5,0
5,以巴路山,32.235,35.275,"32.235, 35.275",68.2,12.5,0
6,以得來,32.614,36.101,"32.614, 36.101",81.5,14.5,0
7,以琳,29.3,33.0,"29.3, 33.0",33.5,69.5,0
8,加低斯,30.648,34.42,"30.648, 34.42",55.8,50.5,0
9,尼波山,31.765,35.725,"31.765, 35.725",75.5,23.5,0
10,示劍,32.213,35.281,"32.213, 35.281",68.5,14.5,0
11,示羅,32.055,35.289,"32.055, 35.289",68.5,17.5,0
12,吉甲,31.884,35.501,"31.884, 35.501",72.5,18.5,0
13,米利巴水,30.64,34.4,"30.64, 34.4",55.5,51.5,0
14,米甸,28.2,35.2,"28.2, 35.2",68.5,88.5,0
15,艾城,31.916,35.263,"31.916, 35.263",67.8,21.5,0
16,西奈山,28.539,33.975,"28.539, 33.975",50.5,82.5,0
17,西奈山頂,28.539,33.975,"28.539, 33.975",50.5,81.5,0
18,西奈山腰,28.542,33.975,"28.542, 33.975",50.5,83.0,0
19,西奈山腳,28.55,33.975,"28.55, 33.975",50.5,84.5,0
20,何珥山,30.325,35.451,"30.325, 35.451",72.5,56.5,0
21,利非訂,28.58,33.8,"28.58, 33.8",45.5,81.5,0
22,希伯崙,31.533,35.099,"31.533, 35.099",65.2,28.5,0
23,亞拉得,31.282,35.125,"31.282, 35.125",66.5,32.5,0
24,亞割谷,31.82,35.42,"31.82, 35.42",71.2,22.5,0
25,阿伯,30.6,35.7,"30.6, 35.7",75.5,50.5,0
26,亭拿希烈,32.11,35.12,"32.11, 35.12",65.8,21.5,0
27,哈洗錄,28.93,34.43,"28.93, 34.43",56.5,75.5,0
28,約旦河,31.8,35.55,"31.8, 35.55",72.5,21.5,0
29,紅海,28.5,33.0,"28.5, 33.0",36.5,83.5,0
30,紅海東岸,28.8,33.1,"28.8, 33.1",38.5,78.5,0
31,耶利哥,31.87,35.444,"31.87, 35.444",70.8,21.5,0
32,埃及,30.1,31.3,"30.1, 31.3",10.5,57.5,0
33,埃及疏割,30.55,32.15,"30.55, 32.15",23.5,49.5,0
34,書珥曠野,30.5,33.0,"30.5, 33.0",36.5,49.5,0
35,訊曠野,28.8,33.5,"28.8, 33.5",39.5,77.5,0
36,基博羅哈他瓦,28.7,34.3,"28.7, 34.3",55.5,78.5,0
37,基遍,31.847,35.186,"31.847, 35.186",66.5,23.5,0
38,何珥瑪,31.2,34.9,"31.2, 34.9",63.5,38.5,0
39,尋曠野,30.85,35.05,"30.85, 35.05",64.5,46.5,0
40,雅哈,31.55,35.95,"31.55, 35.95",79.5,30.5,0
41,摩押平原,31.83,35.68,"31.83, 35.68",74.5,21.5,0
42,蘭塞,30.79,31.83,"30.79, 31.83",18.5,45.5,0
